Roaster,Name,Roast Profile,Flavour Notes,Origin / Location,Varietal / Species,Process,Elevation,Price,Product Link
Hunkal Estate Coffee,Aranya Gold Coffee Beans,Medium,"Floral and fruity aroma; citrus, berries, gentle sweetness; clean and refreshing finish","Thogarihunkal Estate, Chikmagalur; Western Ghats",Chandragiri; 100% Arabica Whole Beans,,3800 ft Above Sea Level,INR 630,https://www.hunkalestatecoffee.com/products/aranya-gold-coffee-beans
Hunkal Estate Coffee,Tiger Reserve Coffee Beans,Medium,"Earthy, nuts, cocoa, caramel, dark chocolate; smooth and lingering finish","Thogarihunkal Estate, Chikmagalur",Chandragiri & S274; 80% Arabica Whole Beans; 20% Robusta Whole Beans,,3500 to 3800 ft Above Sea Level,INR 580,https://www.hunkalestatecoffee.com/products/tiger-reserve-coffee-beans
Kāpikottai,Hamsanādam,Medium Light Roast,"Milk chocolate, lemon candy, marigold; raspberry-like fruitiness","Perumpallam village, Kodaikanal",Chandragiri; Arabica,Washed Arabica; traditional washed,1500-1600m ASL,INR 950,https://kapikottai.coffee/products/hamsanadam
Kāpikottai,Kilpauk Standard,Medium Dark Roast,"Toasted nuts, chocolate, hints of fruit",,,80% washed; 20% naturals,,INR 650,https://kapikottai.coffee/products/kilpauk-standard
Kāpikottai,Mōhanakalyāni,Medium Roast,"Caramel, sweetlime, hibiscus","Krishnagiri estate, Chikmagalur",Chandragiri; Arabica,Washed Arabica,1200-1500m ASL,INR 720,https://kapikottai.coffee/products/mohanakalyani
Kāpikottai,Nalinakānti,Light Roast,"Lychee, raisins, rosewater","Ram estate, Kodaikanal",SLN 09; Arabica,Sequentially carbonic macerated pulp sundried Arabica; 160 hrs fermentation split pre- and post-pulping,1200m ASL,INR 999,https://kapikottai.coffee/products/nalinakanti
Kāpikottai,Tōdi,Dark Roast,"Treacle, walnuts, hints of raspberry","Krishnagiri estate, Chikmagalur",Chandragiri; Arabica,Washed Arabica,1200m-1500m ASL,INR 720,https://kapikottai.coffee/products/todi
Korebi,Melkodige Estate - Yeast Fermented,Medium Dark,"Caramel, Hint Of Tangerine, Almond Biscotti","Melkodige Estate, Chickmagalur",,Yeast Fermentation,1300M,INR 999,https://korebi.coffee/products/melkodige-estate-yeast-fermented
Korebi,Moganad Estate - Honey Sundried,Medium,"Toffee, Hazelnut, Rum and Cacoa","Moganad Estate, Shevaroy hills, Tamil Nadu",,Honey Sundried,1380M,INR 999,https://korebi.coffee/products/moganad-estate-honey-sundried-1
Korebi,The Bourbon - Limited Edition,Medium,"Prunes, Maple Vanilla, Malt",,100% Arabica,Bourbon barrel aged,1400M,INR 999,https://korebi.coffee/products/the-bourbon-limited-edition-coffee
Korebi,Kanabi - Limited Edition (Hemp Seed Oil Coffee),Medium Dark,"Pear, Nuts",,100% Arabica,Hemp seed oil infusion,1400M,INR 999,https://korebi.coffee/products/kanabi-limited-edition-hemp-seed-oil-coffee
Korebi,Tropical Haze - Medium Roast Coffee,Medium,"White Floral, Forest honey, Cashew Apple",,AAA Grade Arabica,,1350M,INR 749,https://korebi.coffee/products/tropical-haze-medium-roast-coffee
Korebi,Espresso Intenso - 80% Arabica / 20% Robusta,Dark Roast,Chocolate finish,,AAA Grade 80% Arabica and 20% Robusta,,,INR 1199,https://korebi.coffee/products/espresso-intenso
Korebi,Wabi - Medium Dark Roast Coffee,Medium Dark,"Roasted Nuts, Cacao, Mulberry",,AAA Grade Arabica,,1350M,INR 749,https://korebi.coffee/products/wabi-medium-dark-roast-coffee
Korebi,Espresso Blend - 80% Arabica / 20% Robusta,,Caramel finish,,AAA Grade 80% Arabica and 20% Robusta,,,INR 1199,https://korebi.coffee/products/espresso-blend
Korebi,The Dark Side - Dark Roast Coffee,Dark,"Dark Chocolate, Toasted Sesame, Caramel",,AAA Grade Arabica,,1300M,INR 749,https://korebi.coffee/products/the-dark-side-roast-coffee
Korebi,Cold Brew Blend - Medium Dark Roast,Medium Dark,"Milk Chocolate, Smooth Roasted Hazelnut with a hint of Macadamia",,AAA Grade Arabica,,1300M,INR 749,https://korebi.coffee/products/cold-brew-blend-medium-dark-roast-coffee
Korebi,Bubble Bliss - Anaerobic Fermented,Medium,"White Raisin, Sweet Cranberry, Dragon Fruit",,AAA Grade Arabica,Anaerobic Fermentation,1550M,INR 999,https://korebi.coffee/products/bubble-bliss-anaerobic-fermented-coffee
Korebi,Baarbara Estate - Honey Sundried Processed,Medium,"Citrus, Melon, Cacao Nibs, Nutmeg","Baarbara Estate, Chikmagalur, near Bababudan Giri",Selection 795 Arabica,Honey Sun-Dried,1550M,INR 999,https://korebi.coffee/products/baarbara-estate-honey-processed-coffee
Korebi,Southern Blend - 60% Arabica / 40% Robusta,,Fruity finish,,AAA Grade 60% Arabica and 40% Robusta,,,INR 599,https://korebi.coffee/products/southern-blend
Korebi,Golden Toast Brew,Medium Dark,"Roasted Almond, Cacao Nibs, Molasses","Sidrgavi Estate, Karnataka",100% AA-grade Arabica beans,Sundried,1650M,INR 999,https://korebi.coffee/products/golden-toast-brew
Korebi,Sidrigavi Estate,Medium,"Roasted Walnuts, Cocoa, Sweet Spices","Sidrigavi Estate, Bhadra Tiger Reserve, Chikmagalur",100% Arabica,Natural Process,1650M,INR 999,https://korebi.coffee/products/sidrgavi-estate
KUP,Dkaf Medium Roasted Beans | 100% Arabica Single-Origin | 250g,Medium Roast,"Butter cookie, blood orange, raisins",,100% Arabica,Decaf,,INR 1690,https://www.kup.world/products/dkaf-medium-roasted-beans-250-grams-100-arabica-single-origin
KUP,Kaapi Royale Harley Estate | Sakleshpur | Robusta  | Espresso Roast | 250g,Espresso Roast / Dark,"Caramel, milk chocolate, sweet cream","Harley Estate, Sakleshpur",Robusta Kaapi Royale,,,INR 690,https://www.kup.world/products/product-ed878991-1ec5-f651-d4e8-b9f464873ba0
KUP,Love You Berry Much Coffee | 100% Arabica | Medium Roast Beans | 250g,Medium Roast,"Berries, honey, dark plum, rum, dark chocolate, earth",,100% Arabica,Natural extended anaerobic fermentation,1350 MASL,INR 1090,https://www.kup.world/products/love-you-berry-much-coffee-100-arabica-medium-roast-beans-250-grams
KUP,Mad Monk | 100% Arabica | Rum Barrel Aged Medium Roasted Coffee Beans | 250g,Medium Roast,"Orange peel, walnut","Sakleshpur, India",100% Arabica,Rum barrel aged,,INR 1290,https://www.kup.world/products/mad-monk-100-arabica-rum-barrel-aged-medium-roasted-coffee-beans-250-grams
KUP,Ratnagiri Estate | Chikmagalur | 100% Arabica | Omni Roast | 250g,Omni Roast / Medium,"Peach, black currant, mandarin, grapy finish","Ratnagiri Estate, Chikmagalur",100% Arabica,90-hour extended carbonic-washed-maceration process,,INR 940,https://www.kup.world/products/product-a0ed89a1-aab3-ef02-77b7-44f8b4977f39
KUP,Sober Jack | 100% Arabica | Medium Smoky Roasted Coffee Beans 250g,Medium Smoky Roast,"Black currant, dark rum, jujube","Satlienpur, India",100% Arabica,Whiskey barrel aged,High-altitude,INR 1290,https://www.kup.world/products/sober-jack-100-arabica-medium-smoky-roasted-coffee-beans-250-grams
KUP,Sugar Daddy Coffee | 100% Arabica | Medium Roast Beans | 250g,Medium Roast,"Coffee, honey, mulberry, cherry",,100% Arabica,Natural special processing,1350 MASL,INR 1090,https://www.kup.world/products/sugar-daddy-coffee-100-arabica-medium-roast-beans-250-grams
KUP,The Dreamer | 80:20 Arabica-Robusta Blend Medium Roasted Coffee Beans | 250g,Medium-Dark Roast,"Dark chocolate, roasted nuts, sweet cream finish",,80:20 Arabica-Robusta Blend,,,INR 590,https://www.kup.world/products/the-dreamer-80-20-arabica-robusta-blend-medium-roasted-coffee-beans-250-grams
KUP,The Rebel | Medium Roast Coffee Beans | 250g,Medium Roast,"Citrus blossom, grapefruit, brown sugar",Chikmagalur,,Washed and Honey Blend,,INR 740,https://www.kup.world/products/the-rebel-medium-roast-coffee-beans-250-grams
KUP,The Thinker | 100% Arabica | Medium Roasted Coffee Beans | 250g,Medium Roast,"Milk chocolate, almond, caramel syrup finish",,100% Arabica,,,INR 640,https://www.kup.world/products/the-thinker-100-arabica-medium-roasted-coffee-beans-250-grams
Maverick & Farmer,Parama,Medium to Medium-dark,"Chocolate, Caramel",,"Arabica, Robusta, Peaberry of both","Multiple processes - Washed, natural, honey, smoked",,INR 650,https://www.maverickandfarmer.com/products/parama
Maverick & Farmer,Tall Dark Handsome,"French (dark) roast (Past the 2nd crack, oily)","Smoky, Intense coffee",,Arabica,Washed,,INR 650,https://www.maverickandfarmer.com/products/tall-dark-handsome
Maverick & Farmer,Rohan Bopanna's Masterblend,Medium-dark,"Mildly sweet, Toffee","Rohan Bopanna's coffee estate, Coorg",100% Arabica,"Washed, Honey processed",,INR 680,https://www.maverickandfarmer.com/products/rohan-bopannas-masterblend-1
Maverick & Farmer,Ol' Smoky - Cold Smoked coffee!,Medium-light,"Sweet smoke, roasted spice",,Arabica,"Washed, cold-smoked",,INR 700,https://www.maverickandfarmer.com/products/smokin-joe
Maverick & Farmer,Say Hello to Mellow,Mild Roast,Banana and Berry,,Arabica,Fully washed,,INR 680,https://www.maverickandfarmer.com/products/say-hello-to-mellow
Maverick & Farmer,Parama Dark,Medium-dark to Dark,"Dark chocolate, Caramel",,"Arabica, Robusta, Peaberry of both","Multiple processes - Washed, natural, honey, smoked",,INR 660,https://www.maverickandfarmer.com/products/parama-dark
Maverick & Farmer,Clouds In My Coffee,"Medium light, quick roast","Earthy, Spice and nuts",,Arabica,"Washed, then Monsooned",,INR 700,https://www.maverickandfarmer.com/products/rohan-bopannas-masterblend
Maverick & Farmer,Deep Bliss,Dark roast,"Dark Chocolate, Earthy",,"Arabica, Robusta","Washed, Natural",,INR 620,https://www.maverickandfarmer.com/products/deep-blis
Maverick & Farmer,Orange You Curious?,Medium-light,"Citrus, cherry wine",,Arabica,"Washed, primary, and secondary fermented",,INR 650,https://www.maverickandfarmer.com/products/orange-you-curious-1
Maverick & Farmer,Sunkissed,"Dark, just past the first crack","Fruity, citrus, buttercup",,Robusta,Honey Sun-dried,,INR 620,https://www.maverickandfarmer.com/products/sunkissed
Maverick & Farmer,Cafe Chic,Medium-dark roast,"Deep, roasty, heavy body",,Chicory blended South Indian coffee; Peaberry beans,,,INR 550,https://www.maverickandfarmer.com/products/cafe-chic
Maverick & Farmer,Cold brew - New Orleans Style,Dark Roast,"Chocolate, Toffee",,"Arabica, Robusta; Roasted Chicory root",Honey Sun Dried,,INR 550,https://www.maverickandfarmer.com/products/copy-of-cold-brew-new-orleans-style
Maverick & Farmer,Cold brew - Dark & Fruity,Medium-dark slow roast,"Dry fruit, Shiraz, Caramel",,Arabica,"Honey, Wet-process",,INR 650,https://www.maverickandfarmer.com/products/cold-brew-dark-and-fruity
Maverick & Farmer,Modur Naturals,Medium Dark Roast,"Green Apple, Sweet cherry","Modur Estate, northern slopes of the Western Ghats",Arabica,Naturals,3100 - 3250 ft,INR 700,https://www.maverickandfarmer.com/products/modur-naturals
Maverick & Farmer,Cold brew - Light & Bright,Light roast,"Fresh ripe fruit, Citrus",,Arabica,"Washed, some naturals added",,INR 650,https://www.maverickandfarmer.com/products/cold-brew-light-bright
Maverick & Farmer,Melkodige estate - single origin Arabica,Medium to medium dark,"Fig, Ripe Plum","Melkodige estate, Chikmagalur (Karnataka)","Arabica, SLN 9",Anaerobic Naturals,4000 feet,INR 750,https://www.maverickandfarmer.com/products/melkodige-estate-single-origin-arabica
Maverick & Farmer,Lion's Mane Mushroom Coffee | 200 gm whole bean or ground,Mild roast,"Dark chocolate, caramel",India,100% Arabica Whole Bean Coffee; Lion's Mane (Hericium erinaceus) Dual Extract,Infused with Lion's Mane Mushroom dual extract,,INR 1700,https://www.maverickandfarmer.com/products/lions-mane-mushroom-coffee-200-gm-whole-bean-or-ground
Maverick & Farmer,Mooley Manay,Medium,"Complex berries, sweet cherry, lychee","Mooleh Manay Estate, Coorg",Excelsa,84-hour yeast-fermented natural,,INR 799,https://www.maverickandfarmer.com/products/mooley-manay
Mindful Coffee Roaster,Ratnagiri Estate — Carbonic Natural,Light (Filter),"Cherry Cola, Red Grape, Blackberry","Ratnagiri Estate, Bababudangiri, Karnataka, India",Catuai,96H Carbonic Natural,1340 MASL,INR 800,https://www.mindfulcoffeeroaster.com/product-page/ratnagiri-estate-carbonic-natural
Mindful Coffee Roaster,Ammikulavi 72 Hour Pichia Anaerobic Blend,Light,"Pineapple, Passionfruit, Dark Honey, Floral Hibiscus",Ammikulavi Estate,"S795, Caturra",72-Hour Anaerobic (Pichia Yeast),1400 MASL,INR 800,https://www.mindfulcoffeeroaster.com/product-page/ammikulavi-72-hour-pichia-anaerobic-blend
Mindful Coffee Roaster,HARMONY- Special Omni Roast,Medium roast,"Dark jaggery, toasted almond, molasses, refined nuttiness, cocoa, marzipan-like aftertaste",,100% Arabica (SLN 9 & S795),,,INR 750,https://www.mindfulcoffeeroaster.com/product-page/harmony-special-omni-roast
Mindful Coffee Roaster,STILLNESS -Special Espresso Roast,Medium-dark roast,"Dark chocolate, toasted walnut, deep cocoa, roasted nuts, soft caramel, hint of orange",,100% Arabica (SLN 9 & S795),,,INR 750,https://www.mindfulcoffeeroaster.com/product-page/stillness-special-espresso-roast
Naivo Coffee Company,Finca Las Brisas Geisha – Naturals,Filter Roast,"Blueberry, Cherry Cola, Elaichi, Ripe Banana","Huila, Colombia",Geisha; 100% Arabica,Naturals,1400 - 2000 MASL,from INR 1635,https://naivo.in/product/finca-las-brisas-geisha-naturals/
Naivo Coffee Company,Maillard’s Dream – Kerehaklu 62H Mosto Culture Naturals – Fine Robusta,Omni Roast,"Butter Cookies, Cashew, Malt, Pastry","Chikmagalur, India",TR9; 100% Fine Robusta,62H Mosto Culture Naturals,1150 MASL,from INR 655,https://naivo.in/product/maillards-dream-kerehaklu-62h-mosto-culture-naturals/
Naivo Coffee Company,Pichia Parables  – Harley 36H Pichia Yeast Naturals,Espresso Roast,"Figs, Mango, Mosambi, Walnut","Sakleshpur, India",Selection 9; 100% Arabica,36H Pichia Yeast Naturals,950 – 1050 MASL,from INR 765,https://naivo.in/product/pichia-parables-harley-36h-pichia-yeast-naturals/
Naivo Coffee Company,Kraken Jam – Orchardale Naturals,Espresso Roast,"Blueberry Jam, Dried Figs, Papaya, Wild Honey","Servarayan Hills, India","SL795, SL9; 100% Arabica",Naturals,1520 MASL,from INR 890,https://naivo.in/product/kraken-jam-orchardale-naturals/
Naivo Coffee Company,Sweet Illusions – BEWILD Permaculture 180H Anoxic Naturals – Fine Robusta,Omni Roast,"Champakali, Cherry, Jasmine, Red Mace","Coorg, India",Old Peradeniya; 100% Fine Robusta,Permaculture 180H Anoxic Naturals,980 - 1050 MASL,from INR 525,https://naivo.in/product/sweet-illusions-bewild-permaculture-180h-anoxic-naturals-fine-robusta/
Naivo Coffee Company,The Nut Job – Mooleh Manay 120H Carbonic Naturals – Fine Robusta,Espresso Roast,"Cinnamon, Nerium, Pecan, Roasted Jackfruit Seed","Nakoor Village, Coorg, India",CxR; 100% Fine Robusta,120H Carbonic Naturals,1000 MASL,from INR 545,https://naivo.in/product/the-nut-job-mooleh-manay-120h-carbonic-naturals/
Naivo Coffee Company,Currant Affairs – Karadykan Naturals,Omni Roast,"Apricot, Black Currant, Blackberries, Hazelnut","Chikmagalur, India","SL795, Catimor; 100% Arabica",Naturals,1300 - 1400 MASL,from INR 725,https://naivo.in/product/currant-affairs-karadykan-naturals/
Naivo Coffee Company,Mooleh Manay Honey,Espresso Roast,"Cane Sugar, Caramel, Milk Chocolate","Nakoor Village, Coorg, India","SL6, SL9, Chandragiri; 100% Arabica",Honey Sun Dried,1000 MASL,from INR 685,https://naivo.in/product/mooleh-manay-honey/
Naivo Coffee Company,Tropical Splash – Baarbara Pineapple Fermented,Espresso Roast,"Blood Orange, Dried Mango, Mosambi, Pineapple","Chikmagalur, India",Selection 795; 100% Arabica,Pineapple Fermentation,1170 - 1630 MASL,from INR 790,https://naivo.in/product/tropical-splash-baarbara-pineapple-fermented/
Naivo Coffee Company,Kolli Berri Washed,Omni Roast,"Dark Chocolate, Malt, Prunes","Mudigere, India",Selection 795; 100% Arabica,Washed,1070 MASL,from INR 595,https://naivo.in/product/kolli-berri-washed/
Naivo Coffee Company,Ratnagiri Estate – Robusta Mosto Naturals,Omni Roast,"Dried Mango, Jackfruit, Nutmeg, Sweet Cream","Chikmagalur, India",CxR; 100% Fine Robusta,Mosto Culture Naturals,1310 MASL,from INR 670,https://naivo.in/product/ratnagiri-estate-robusta-mosto-naturals/
Naivo Coffee Company,Ratnagiri Estate – Lab Process Naturals,Espresso Roast,"Figs, Pineapple Jam, Prunes, Starfruit","Chikmagalur, India",Catuai; 100% Arabica,Lab Process Naturals,1310 MASL,from INR 885,https://naivo.in/product/ratnagiri-estate-lab-process-naturals/
Naivo Coffee Company,Ratnagiri Estate – Culture Naturals Rose,Filter Roast,"Lychee, Rosewater, Squash Melons, Watermelon","Chikmagalur, India",Selection 9; 100% Arabica,52H Culture Process,1310 MASL,from INR 845,https://naivo.in/product/ratnagiri-estate-culture-naturals-rose/
Naivo Coffee Company,Ratnagiri Estate – Double Washed Classic,Omni Roast,"Citrus Blossom, Licorice, Roasted Pecan, Tea Rose","Chikmagalur, India",Selection 9; 100% Arabica,Double Washed,1310 MASL,from INR 645,https://naivo.in/product/ratnagiri-estate-double-washed-classic/
Naivo Coffee Company,Ratnagiri Estate – Culture Naturals Jasmine,Filter Roast,"Bubblegum, Jasmine, Magnolia, Tuberose","Chikmagalur, India",Catuai; 100% Arabica,Culture Naturals Jasmine,1310 MASL,from INR 855,https://naivo.in/product/ratnagiri-estate-culture-naturals-jasmine/
Naivo Coffee Company,Ratnagiri Estate – Dark Room Naturals,Espresso Roast,"Bing Cherries, Blackberries, Green Apple, Pink Guava","Chikmagalur, India",Chandragiri; 100% Arabica,Dark Room Naturals,1310 MASL,from INR 895,https://naivo.in/product/ratnagiri-estate-dark-room-naturals/
Naivo Coffee Company,Mondul Estate AA Washed,Filter Roast,"Black Tea, Tamarind, Wood Apple","Arusha, Tanzania",Bourbon; 100% Arabica,Washed,1600 - 1800 MASL,from INR 470,https://naivo.in/product/mondul-estate-aa-washed/
Naivo Coffee Company,Seethargundu Estate Washed,Filter Roast,"Orange Zest, Simple Syrup, Walnut","Nelliyampathy, Kerala, India",Selection 9; 100% Arabica,Washed,1070 MASL,from INR 615,https://naivo.in/product/seethargundu-estate-washed/
Naivo Coffee Company,Salud – Rum Barrel Aged Coffee,Omni Roast,"Amla, Orange Peel, Walnut","Sakleshpur, India",Selection 9; 100% Arabica,Rum Barrel Aged,950 – 1050 MASL,from INR 950,https://naivo.in/product/salud-rum-barrel-aged-coffee/
Naivo Coffee Company,SKIA Red Honey – Fine Robusta,Omni Roast,"Chocolate Brownie, Cumin, Vanilla","Coorg, India",CxR; 100% Fine Robusta,Red Honey,1010 MASL,from INR 440,https://naivo.in/product/skia-red-honey-fine-robusta/
Naivo Coffee Company,Cashews & Barley Sugar – Kerehaklu 25H Pichia Naturals – Fine Robusta,Omni Roast,"Barley Sugar, Ginger, Roasted Cashews, White Pepper","Chikmagalur, India",CxR; 100% Fine Robusta,25H Pichia Naturals,1125 MASL,from INR 510,https://naivo.in/product/cashews-barley-sugar-kerehaklu-25h-pichia-naturals-fine-robusta/
Naivo Coffee Company,Dunduga Estate Naturals,Omni Roast,"Passion Fruit, Pistachio, Tutti Frutti","Mudigere, India",Chandragiri; 100% Arabica,Naturals,920 – 1010 MASL,from INR 650,https://naivo.in/product/dunduga-estate-naturals/
Naivo Coffee Company,Dunduga Estate Washed,Omni Roast,"Black Pepper, Malt, Tobacco","Mudigere, India",Chandragiri; 100% Arabica,Washed,920 – 1010 MASL,from INR 625,https://naivo.in/product/dunduga-estate-washed/
Naivo Coffee Company,Venkids Valley Washed – Fine Robusta,Omni Roast,"Cardamom, Dark Chocolate, Nutmeg","Coorg, India","Old Peradeniya, CxR; 100% Fine Robusta",Washed,800 – 1150 MASL,from INR 545,https://naivo.in/product/venkids-valley-washed-fine-robusta/
Naivo Coffee Company,Harley Kaapi Royale – Fine Robusta,Espresso Roast,"Caramel, Milk Chocolate, Sweet Cream","Sakleshpur, India",Old Peradeniya; 100% Fine Robusta,Washed,950 – 1050 MASL,from INR 530,https://naivo.in/product/harley-kaapi-royale-fine-robusta/
Naivo Coffee Company,Zero Buzz Decaf,Omni Roast,"Blood Orange, Butter Cookies, Raisins",Colombia,Various; 100% Arabica,Decaf,1400 – 1700 MASL,from INR 620,https://naivo.in/product/zero-buzz-decaf/
Naivo Coffee Company,Unakki Estate Washed,Omni Roast,"Apricot, Cane Sugar, Honey","Joldal, India",Chandragiri; 100% Arabica,Washed,1220 – 1370 MASL,from INR 610,https://naivo.in/product/unakki-estate-washed/
Naivo Coffee Company,Sláinte – Whiskey Barrel Aged Coffee,Filter Roast,"Black Currant, Dark Rum, Jujube","Sakleshpur, India",Selection 9; 100% Arabica,Whiskey Barrel Aged,950 – 1050 MASL,from INR 1190,https://naivo.in/product/slainte-whiskey-barrel-aged-coffee/
Naivo Coffee Company,Unakki Dark Honey,Espresso Roast,"Dried Berries, Lychee, Stone Fruit","Joldal, India",Chandragiri; 100% Arabica,Dark Honey Sun Dried,1220 – 1370 MASL,from INR 645,https://naivo.in/product/unakki-dark-honey/
Naivo Coffee Company,Monsoon Malabar AA,Omni Roast,"Dark Chocolate, Earthy, Mellow","Karnataka, India",Various; 100% Arabica,Monsooned,1000 – 1500 MASL,from INR 590,https://naivo.in/product/monsoon-malabar-aa/
Naivo Coffee Company,Balanoor Chandragiri Washed,Filter Roast,"Almonds, Floral, Gooseberries","Chikmagalur, India",Chandragiri; 100% Arabica,Washed,1100 – 1400 MASL,from INR 585,https://naivo.in/product/balanoor-chandragiri-washed/
Naivo Coffee Company,Balanoor Vontekad,Filter Roast,"Citrus Blossom, Golden Raisin, Honeydew","Chikmagalur, India",SL795; 100% Arabica,Washed,1100 – 1400 MASL,from INR 680,https://naivo.in/product/balanoor-vontekad/
Naivo Coffee Company,Bettadamalali Estate Washed,Espresso Roast,"Cocoa, Honey, Roasted Nuts","Baba Budan Giri, India",Selection 795; 100% Arabica,Washed,1100 – 1340 MASL,from INR 580,https://naivo.in/product/bettadamalali-estate-washed/
Naivo Coffee Company,Attikan White Mist,Espresso Roast,"Baker’s Chocolate, Cedar, Roasted Nuts","Bilgirirangana Hills, India",SL9; 100% Arabica,Washed (Double Fermentation),1650 MASL,from INR 670,https://naivo.in/product/attikan-white-mist/
Naivo Coffee Company,BEWILD Anoxic Naturals – Fine Robusta,Omni Roast,"Clove, Jackfruit, Nutmeg","Coorg, India",Old Peradeniya; 100% Fine Robusta,Anoxic Naturals,950 - 1040 MASL,from INR 470,https://naivo.in/product/bewild-poomale-anoxic-naturals/
Naked Coffee,Ratnagiri - Sequential Washed,,"sweet lime, honey, black tea",RATNAGIRI ESTATE,,SEQUENTIAL WASHED,4450 FT,INR 1205,https://nakedcoffee.in/products/ratnagiri-sequential-washed
Naked Coffee,Ratnagiri Estate - Anaerobic Naturals,Light-roasted,"rose, dark chocolate, dried cranberries",RATNAGIRI ESTATE,,ANAEROBIC NATURALS,3900 FT,INR 1225,https://nakedcoffee.in/products/ratnagiri-estate-anaerobic-naturals
Naked Coffee,Vienna Roast - DARK,Vienna Roast - DARK,"cocoa, bittersweet, roasted malt","KARNATAKA, INDIA",,,3900 FT,INR 945,https://nakedcoffee.in/products/vienna-roast-dark
Naked Coffee,Ratnagiri - Honey Sundried,,"oolong tea, jasmine, grapefruit",RATNAGIRI ESTATE,,HONEY SUNDRIED,3900 FT,INR 1205,https://nakedcoffee.in/products/ratnagiri-honey-sundried
Naked Coffee,Cold Brew Blend - BOLD,,"dark chocolate, cinnamon, toffee",,,WASHED,4900 FT,INR 945,https://nakedcoffee.in/products/cold-brew-blend-bold
Naked Coffee,Moganad Estate - Washed,,"cacao nibs, dark chocolate, bittersweet",MOGANAD ESTATE,,WASHED,4000 FT,INR 1025,https://nakedcoffee.in/products/moganad-estate-washed
Naked Coffee,Ratnagiri Estate - Mosto Double Washed,,"brown sugar, chocolate, roasted almond",RATNAGIRI ESTATE,,MOSTO DOUBLE WASHED,4150 FT,INR 1045,https://nakedcoffee.in/products/ratnagiri-estate-mosto-double-washed
Project Kaapi,Tipsy Tuskers Light Roast,Light roast,"Berries, dark chocolate, gentle spices",,Catui,Mulled wine fermented natural,,INR 262,https://projectkaapi.com/products/tipsy-tuskers-lite
Project Kaapi,Tipsy Tuskers,Medium roast,"Berries, dark chocolate, warm spices",,Catui,Mulled wine fermented natural,,INR 262,https://projectkaapi.com/products/tipsy-tuskers
Project Kaapi,God Bean,,"Orange candy, berries",,Kents,,,INR 304,https://projectkaapi.com/products/god-bean
Project Kaapi,Kaapi Grounds,,"Deep earthiness, mellow sweetness, steady finish",,Monsoon coffee and robusta,,,INR 272,https://projectkaapi.com/products/kaapi-grounds
Project Kaapi,Magic Potion,,"Bright citrus, ripe peach, sweet berries, cherry",,,Sequentially fermented,,INR 230,https://projectkaapi.com/products/magic-potion
Project Kaapi,Picnic In the Forest (Native and Natural x Project Kaapi),Medium roast,"Sweetlime, spice, nutty mouthfeel, medium acidity",,,Washed,912 MASL,INR 460,https://projectkaapi.com/products/picnic-in-the-forest-native-and-natural-x-project-kaapi
Project Kaapi,Oh Honey!,Medium roast,"Berries, dark chocolate, warm spices",,Catui,Mulled wine fermented natural,,INR 262,https://projectkaapi.com/products/oh-honey
Quick Brown Fox Coffee Roasters,Vontekad Estate SLN795 [Farm Organic Washed] [Espresso Roast],Espresso,"Dried dates, Clementine, Milk Chocolate","Vontekad Estate, Chikmagalur, KN",SLN 795,Washed - Farm Organic,760 - 1430m,INR 795,https://qbfcoffee.com/products/ms-estate-organic-espresso-roast
Quick Brown Fox Coffee Roasters,Cold Brew Blend,Cold Brew Blend,"Milk chocolate, toffee, tropical fruit",,,,,INR 625,https://qbfcoffee.com/products/cold-brew-blend
Quick Brown Fox Coffee Roasters,Middle Ground [Espresso Blend],Espresso Blend,"Ripe stone-fruit, Toffee, Bittersweet Chocolate",,"SL795, Chandragiri","Washed, Natural",,INR 625,https://qbfcoffee.com/products/middle-ground-espresso-blend
Quick Brown Fox Coffee Roasters,Badnekhan Estate SLN 13 [Washed] [Espresso Roast],Espresso,"Toffee, Hazelnut, Milk Chocolate","Badnekhan Estate, Chikmagalur, KN",SLN 13,Washed,1400m,INR 775,https://qbfcoffee.com/products/badnekhan-estate-sl13-washed-espresso-roast
Quick Brown Fox Coffee Roasters,Colombia Decaf [Espresso Roast],Espresso,"Mandarin, Hazelnut, Chocolate Fudge",Colombia,,Decaf,,INR 1300,https://qbfcoffee.com/products/colombia-decaf
Quick Brown Fox Coffee Roasters,Attikan Estate Catimor [Culture Washed] [Espresso Roast],Espresso,"Milk Chocolate, Brown Butter, Pecan, Figs","Attikan Estate, Biligiri Hills, KN",Catimor,Culture Washed; Anaerobic with a Microbial Culture,1550-1600m,INR 775,https://qbfcoffee.com/products/attikan-estate-catimor-culture-washed-espresso-roast
Quick Brown Fox Coffee Roasters,Attikan Estate [Wild Gooseberry Honey] [Filter Roast] [Microlot],Filter,"Orange Blossom, Milk Chocolate, Lemon Candy","Attikan Estate, Biligiri Hills, KN",SLN 795,Wild Gooseberry Honey; 38 hours with wild gooseberries in air-tight barrels,1650m,INR 999,https://qbfcoffee.com/products/attikan-estate-wild-gooseberry-honey-filter-roast-microlot
