Roaster,Name,Roast Profile,Flavour Notes,Origin / Location,Varietal / Species,Process,Elevation,Price,Product Link
Bili Hu,Cold Brew Blend,Medium Roast,"Less Bitter, Smoother, Chocolaty; Dark Chocolate, hint of caramel; full-bodied, flavorful, low acidity when brewed cold","Chikmagalur, Karnataka",Arabica and Robusta Beans,,,INR 649,https://bilihu.in/collections/blends/products/cold-brew-blend-1
Bili Hu,70 30 Arabica Robusta Blend,Medium Roast,"Whole Beans - Dark Chocolate, Roasted Nuts, Maple syrup, Medium Acidity, Full Body.; French Press - Dark Chocolate, Bitter Sweet Almonds, Medium Acidity, Full Body.; Drip filter - Walnuts, Salted caramel, Medium Acidity, Full Body.; Mokapot / Percolator - Dark Chocolate, Roasted Nuts, Medium Acidity, Full Body.; Home Espresso - Dark Chocolate, Honey-coated Almonds, Medium Acidity, Full Body.; Aeropress - Roasted Nuts, Bittersweet Chocolate, Medium Acidity, Full Body.","Kalledevarapura Estate and Balur Estate, Chikmagalur, Karnataka",Arabica & Robusta Beans,Washed,,"INR 649 - INR 2,100",https://bilihu.in/collections/blends/products/70-30-arabica-robusta-blend
Bili Hu,80 20 Arabica Robusta Blend,Medium Roast,"Whole Beans - Dark Chocolate, Roasted Nuts, Maple Syrup, Medium Acidity, Full Body; French Press - Dark Chocolate, Bitter Sweet Almonds, Medium Acidity, Full Body; Drip filter - Walnuts, Salted caramel, Medium Acidity, Full Body; Mokapot / Percolator - Dark Chocolate, Roasted Nuts, Medium Acidity, Full Body; Espresso - Dark Chocolate, Honey coated almonds, Medium Acidity, Full Body; Aeropress - Roasted Nuts, Bittersweet Chocolate, Medium Acidity, Full Body","Chikmagalur, Karnataka",Arabica & Robusta Beans,Washed,,"INR 649 - INR 2,100",https://bilihu.in/collections/blends/products/80-20-arabica-robusta-blend
Bili Hu,Vietnamese Style Coffee Blend,Medium Dark Roast,"Sweet taste, chocolatey undertones; designed for hot or iced Vietnamese-style coffee with condensed milk","Chikmagalur, Karnataka",Robusta and Arabica Beans,,,INR 649,https://bilihu.in/collections/blends/products/vietnamese-style-coffee-blend
Caarabi Coffee Roasters,'Man On Mars' Blend,Medium Roast,"Chocolate, Caramel, Nougat","Chikmagalur, Karnataka","Baarbara AA Washed, Gungegiri Dual Ferment Washed","Washed Arabica, Dual Fermented Washed Arabica",,INR 850,https://caarabicoffee.com/collections/shop-coffee/products/man-on-mars-blend
Caarabi Coffee Roasters,Espresso Sunshine Blend,Dark Roast,"Dark Chocolate, Oak, Vanilla.","Chikmagalur, Karnataka",Mixed Estates,"Washed, Honey Sun Dried Arabica",,INR 750,https://caarabicoffee.com/collections/shop-coffee/products/espresso-sunshine-blend
Caarabi Coffee Roasters,Baarbara Washed AA,Medium Dark Roast,"Milk Chocolate, Cherry, Black Raisins","Baarbara Estate, Chikmagalur, Karnataka",Arabica SL795,Washed Arabica,3850-5350 feet above sea level,INR 800,https://caarabicoffee.com/collections/shop-coffee/products/baarbara-washed-aa
Caarabi Coffee Roasters,Ratnagiri Estate- Rum Barrel Aged,Medium-Light Roast,"Rum Like, Oak, Caramel, Vanilla","Ratnagiri Estate, Chikmagalur, Karnataka",Arabica Catuai,Anaerobic Fermented; Rum Barrel Aged,,"INR 1,750",https://caarabicoffee.com/collections/shop-coffee/products/ratnagiri-estaterum-barrel-aged-coffee
Caarabi Coffee Roasters,Ratnagiri Estate-  Whiskey Barrel Aged,Medium Roast,"Malt, Berry Compote, Caramel, Liquorice","Ratnagiri Estate, Chikmagalur, Karnataka",Cauvery,Whiskey Barrel Aged Natural,,"INR 1,750",https://caarabicoffee.com/collections/shop-coffee/products/ratnagiri-estate-whiskey-barrel-aged
Caarabi Coffee Roasters,Vienna Roast,Extra Dark - Vienna Roast,"Toasted Almond, Oak, Caramel sweetness","Chikmagalur, Karnataka",Mixed Estates,"Washed Arabica, Honey Sun Dried Arabica",,INR 800,https://caarabicoffee.com/collections/shop-coffee/products/vienna-roast
